KHR_MATERIALS_DISPERSION_NO_VOLUME	The dispersion extension needs to be combined with the volume extension.	/materials/24/extensions/KHR_materials_dispersion
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/0/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/1/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/2/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/3/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/4/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/5/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/6/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/7/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/8/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/9/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/10/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/11/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/12/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/13/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/14/material
